Accuracy,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,dataset,model,prob_pos,prob_pos_sex_0,prob_pos_sex_0-sex_1,prob_pos_sex_0/sex_1,prob_pos_sex_1,repeat,transform
0.6782820097244733,0.7023809523809523,0.8815789473684209,0.23157894736842105,0.737313432835821,0.65,0.6494661921708185,0.4457831325301205,0.2389767839625726,0.651006464883926,0.6847599164926931,Compas Sex,GPyT_in_True,0.4578606158833064,0.2340425531914893,0.2764679573190212,0.4584480600750938,0.5105105105105106,0-14460,no_transform
0.6750405186385737,0.7247023809523809,0.7894736842105263,0.08370445344129551,0.8939743589743591,0.7057692307692308,0.6156583629893239,0.4939759036144578,0.14276731141685745,0.7757851076436895,0.6367432150313153,Compas Sex,GPyT_in_False,0.4303079416531605,0.31063829787234043,0.14782016058611802,0.6775713091145592,0.4584584584584585,0-14460,no_transform
0.6572123176661264,0.6875,0.6973684210526315,0.0127530364372469,0.981712626995646,0.6846153846153846,0.6209964412811388,0.5421686746987951,0.0924868576602863,0.8542723525681674,0.6346555323590815,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.6_1tpr_0.6,0.4529983792544571,0.3872340425531915,0.08123442591527696,0.8265957446808511,0.4684684684684685,0-14460,no_transform
0.6604538087520261,0.7053571428571429,0.7697368421052632,0.08319838056680162,0.8919132149901381,0.6865384615384615,0.6067615658362989,0.4819277108433735,0.14646477349900644,0.7669215066245046,0.6283924843423799,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,0.4367909238249595,0.3191489361702128,0.1453155282942517,0.6871331621423331,0.4644644644644645,0-14460,no_transform
0.6620745542949756,0.6949404761904762,0.7434210526315791,0.06265182186234819,0.91572498298162,0.6807692307692308,0.6227758007117438,0.5421686746987951,0.09457454033252012,0.8514714596089275,0.6367432150313153,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.7_1tpr_0.7,0.4497568881685575,0.3574468085106383,0.11402466296083312,0.7581515110448571,0.4714714714714714,0-14460,no_transform
0.6564019448946515,0.6800595238095238,0.7236842105263158,0.05637651821862355,0.922097902097902,0.6673076923076923,0.6281138790035588,0.5301204819277109,0.1149734637925396,0.8217725270012088,0.6450939457202505,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,0.460291734197731,0.3659574468085106,0.11652503567397188,0.7584885671404608,0.4824824824824825,0-14460,no_transform
0.646677471636953,0.5863095238095238,0.6052631578947368,0.024493927125506014,0.9595317725752508,0.5807692307692308,0.7188612099644128,0.6867469879518072,0.03767889931332846,0.9479879170862124,0.7244258872651357,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.8_1tpr_0.8,0.5526742301458671,0.4978723404255319,0.06769322514003367,0.8803087930709848,0.5655655655655656,0-14460,no_transform
0.6555915721231766,0.6696428571428571,0.7171052631578947,0.061336032388663926,0.9144671841919548,0.6557692307692308,0.6387900355871886,0.5301204819277109,0.12749955982594252,0.8061197169630906,0.6576200417536534,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,0.4708265802269044,0.3702127659574468,0.12428172853704772,0.7486691360151606,0.4944944944944945,0-14460,no_transform
0.6458670988654781,0.5491071428571429,0.5723684210526315,0.030060728744939258,0.9474801061007958,0.5423076923076923,0.7615658362989324,0.7349397590361446,0.03123978167366748,0.9592265519845048,0.7661795407098121,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.9_1tpr_0.9,0.5923824959481362,0.5361702127659574,0.06943539283964817,0.8853455248813082,0.6056056056056056,0-14460,no_transform
0.6515397082658023,0.59375,0.6118421052631579,0.023380566801619374,0.961786600496278,0.5884615384615385,0.7206405693950177,0.6746987951807228,0.05390245742888045,0.9260192632996168,0.7286012526096033,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,0.5494327390599676,0.4893617021276596,0.07420186143590396,0.8683345300631118,0.5635635635635635,0-14460,no_transform
0.6677471636952999,0.7380952380952381,0.7697368421052632,0.04089068825910935,0.9468770545693622,0.7288461538461538,0.5836298932384342,0.5301204819277109,0.06278139698669416,0.8941116578992024,0.592901878914405,Compas Sex,"Logistic Regression, C=1.0",0.4084278768233388,0.33617021276595743,0.08925521265946801,0.7901977471839801,0.42542542542542544,0-14460,no_transform
0.6790923824959482,0.7738095238095238,0.8552631578947368,0.10526315789473684,0.8769230769230769,0.75,0.5658362989323843,0.4939759036144578,0.0843121965943105,0.8542038188856508,0.5782881002087683,Compas Sex,SVM,0.3808752025931929,0.2680851063829787,0.13932230102442866,0.6580270793036751,0.4074074074074074,0-14460,no_transform
0.6645056726094003,0.7172619047619048,0.75,0.04230769230769227,0.9435897435897436,0.7076923076923077,0.6014234875444839,0.5542168674698795,0.05538647282239606,0.9091434230070968,0.6096033402922756,Compas Sex,"ZafarEqOpp, τ=5.0, μ=1.2",0.42787682333873583,0.3574468085106383,0.0869976359338061,0.8042553191489362,0.4444444444444444,0-14460,no_transform
