Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1,dataset,model,prob_pos,prob_pos_race_0,prob_pos_race_0-race_1,prob_pos_race_0/race_1,prob_pos_race_1,repeat,transform
0.6828872668288727,0.7574404761904762,0.7067307692307693,0.13311298076923073,0.8415026833631485,0.83984375,0.5935828877005348,0.6649874055415617,0.2442556982244885,0.6326912416851441,0.4207317073170732,Compas Race,GPyT_in_True,0.4022708840227088,0.4747847478474785,0.21287998594271654,0.5516284233900814,0.2619047619047619,0-2410,no_transform
0.6747769667477697,0.7113095238095238,0.6706730769230769,0.10667067307692313,0.8627754155392345,0.77734375,0.6310160427807486,0.6876574307304786,0.19375499170608834,0.7182390779951756,0.4939024390243902,Compas Race,GPyT_in_False,0.4444444444444444,0.5043050430504306,0.175733614479002,0.651533101045296,0.32857142857142857,0-2410,no_transform
0.6747769667477697,0.6889880952380952,0.6754807692307693,0.035456730769230727,0.9501267962806424,0.7109375,0.6577540106951871,0.6801007556675063,0.07644221908214044,0.8876016260162601,0.6036585365853658,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.6_1tpr_0.6,0.4687753446877535,0.4981549815498155,0.08625021964505364,0.8268606701940034,0.4119047619047619,0-2410,no_transform
0.6836982968369829,0.7217261904761905,0.6730769230769231,0.12770432692307687,0.8405253283302064,0.80078125,0.6381461675579323,0.6826196473551638,0.15213184247711498,0.7771352713527135,0.5304878048780488,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,0.4420113544201135,0.5006150061500615,0.17204357757863292,0.6563355563355563,0.32857142857142857,0-2410,no_transform
0.6788321167883211,0.7068452380952381,0.7067307692307693,0.00030048076923072653,0.9995750106247344,0.70703125,0.6452762923351159,0.654911838790932,0.032960619278736836,0.949671669793621,0.6219512195121951,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.7_1tpr_0.7,0.4533657745336577,0.4698646986469865,0.04843612721841506,0.8969147344801794,0.4214285714285714,0-2410,no_transform
0.6796431467964315,0.7291666666666666,0.6826923076923077,0.12199519230769228,0.8483943241224795,0.8046875,0.6203208556149733,0.6675062972292192,0.1614087362536094,0.7581914404049701,0.5060975609756098,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,0.42984590429845904,0.4883148831488315,0.17164821648216486,0.6484886649874055,0.31666666666666665,0-2410,no_transform
0.6723438767234388,0.6369047619047619,0.6418269230769231,0.012920673076923128,0.9798689138576778,0.62890625,0.7147950089126559,0.7204030226700252,0.019183510474903298,0.9733711410540676,0.7012195121951219,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.8_1tpr_0.8,0.5231143552311436,0.5350553505535055,0.035055350553505504,0.9344827586206896,0.5,0-2410,no_transform
0.6723438767234388,0.6532738095238095,0.6057692307692307,0.12469951923076927,0.8292883587001233,0.73046875,0.6951871657754011,0.7481108312342569,0.18103766050254969,0.7580068982508006,0.5670731707317073,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,0.5052716950527171,0.5670356703567035,0.18132138464241784,0.6802293151533932,0.3857142857142857,0-2410,no_transform
0.6577453365774534,0.5729166666666666,0.5865384615384616,0.035757211538461564,0.9390368852459016,0.55078125,0.7593582887700535,0.7758186397984886,0.05630644467653745,0.927423186569528,0.7195121951219512,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.9_1tpr_0.9,0.5782643957826441,0.5904059040590406,0.0356439992971358,0.9396279761904762,0.5547619047619048,0-2410,no_transform
0.6650446066504461,0.5922619047619048,0.5480769230769231,0.11598557692307687,0.8253393665158372,0.6640625,0.7522281639928698,0.7959697732997482,0.14962830988511402,0.8120175980240815,0.6463414634146342,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,0.5644768856447688,0.6199261992619927,0.16278334211913553,0.7374149659863944,0.4571428571428571,0-2410,no_transform
0.6780210867802109,0.7782738095238095,0.7475961538461539,0.08052884615384615,0.9027576197387518,0.828125,0.5579322638146168,0.6095717884130982,0.17664495914480555,0.7102146744607942,0.4329268292682927,Compas Race,"Logistic Regression, C=1.0",0.3746958637469586,0.4268142681426814,0.15300474433315758,0.6415191436805271,0.27380952380952384,0-2410,no_transform
0.6885644768856448,0.7976190476190477,0.7524038461538461,0.11868990384615385,0.8637461193515005,0.87109375,0.5579322638146168,0.6045340050377834,0.15941205381827125,0.736305894308943,0.4451219512195122,Compas Race,SVM,0.3641524736415248,0.4218942189421894,0.16951326656123705,0.5982090795501874,0.2523809523809524,0-2410,no_transform
0.6480129764801298,0.6919642857142857,0.6634615384615384,0.07481971153846156,0.8986568986568986,0.73828125,0.5953654188948306,0.6423173803526449,0.16061006327947416,0.7499521759923481,0.4817073170731707,Compas Race,"ZafarEqOpp, τ=5.0, μ=1.2",0.4387672343876723,0.4858548585485855,0.1382358109295379,0.7154792043399638,0.3476190476190476,0-2410,no_transform
