dataset,transform,model,split_id,Accuracy,CV absolute,F1,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed
Adult Race,no_transform,GPyT_dem_par_in_False_tar_0.3,0,0.8521835268103924,0.8996260574008419,0.7177538526493561,0.8854826823876197,0.922488038277512,0.043742393678208764,0.9525821562305724,0.8787456445993032,0.7522123893805309,0.7242990654205608,0.030832899388823387,0.9591688594501406,0.7551319648093842,0.273852957435047,0.18745035742652902,0.10037394259915816,0.6512666144234515,0.28782430002568715,0.0
Adult Race,no_transform,GPyT_dem_par_in_False_tar_0.3,0,0.8518354710305175,0.8953056360027334,0.7027506654835847,0.8996031162722329,0.9323308270676691,0.03879536792844629,0.9583888392380374,0.8935354591392228,0.7068273092369478,0.655,0.05690592846643805,0.9200653819683413,0.7119059284664381,0.25066342326404245,0.1606012658227848,0.10469436399726659,0.6053671744676676,0.2652956298200514,0.0
