Accuracy,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,dataset,model,repeat,transform
0.6596434359805511,0.7455357142857143,0.9078947368421052,0.20981781376518227,0.768896321070234,0.698076923076923,0.5569395017793595,0.27710843373493976,0.3283195412128682,0.4577066888242625,0.605427974947808,Compas Sex,GPyT_in_True,0-0,no_transform
0.6547811993517018,0.7529761904761905,0.7894736842105263,0.04716599190283399,0.9402564102564104,0.7423076923076923,0.5373665480427047,0.4819277108433735,0.06504514928188743,0.8810815782212822,0.5469728601252609,Compas Sex,GPyT_in_False,0-0,no_transform
0.6434359805510534,0.6488095238095238,0.6842105263157895,0.045748987854251084,0.9331360946745562,0.6384615384615384,0.6370106761565836,0.6144578313253012,0.02646074905048168,0.9587143361720496,0.6409185803757829,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.6_1tpr_0.6,0-0,no_transform
0.6531604538087521,0.7217261904761905,0.7697368421052632,0.06204453441295544,0.9193951347797502,0.7076923076923077,0.5711743772241993,0.5301204819277109,0.048167618281057416,0.9167065373406984,0.5782881002087683,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,0-0,no_transform
0.6426256077795786,0.6056547619047619,0.5657894736842105,0.05151821862348183,0.9165436956878176,0.6173076923076923,0.6868327402135231,0.7469879518072289,0.07057876600347103,0.9055155229308371,0.6764091858037579,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.7_1tpr_0.7,0-0,no_transform
0.6515397082658023,0.6413690476190477,0.6710526315789473,0.03836032388663968,0.9428355957767722,0.6326923076923077,0.6637010676156584,0.6385542168674698,0.02950423824735272,0.955835843373494,0.6680584551148225,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,0-0,no_transform
0.6304700162074555,0.5550595238095238,0.5460526315789473,0.011639676113360364,0.9791288566243194,0.5576923076923077,0.7206405693950177,0.7349397590361446,0.016776919787710343,0.9771723878298368,0.7181628392484343,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.8_1tpr_0.8,0-0,no_transform
0.6393841166936791,0.5714285714285714,0.5657894736842105,0.00728744939271253,0.9872836453549982,0.5730769230769229,0.7206405693950177,0.7228915662650602,0.0026410443443921627,0.9963465553235908,0.7202505219206681,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,0-0,no_transform
0.6142625607779578,0.4092261904761905,0.3881578947368421,0.027226720647773317,0.9344541910331384,0.4153846153846154,0.8594306049822064,0.8433734939759037,0.018839449656664176,0.9781498876863386,0.8622129436325678,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.9_1tpr_0.9,0-0,no_transform
0.6231766612641815,0.4553571428571429,0.4934210526315789,0.04919028340080972,0.9003076923076923,0.4442307692307692,0.8238434163701067,0.8072289156626506,0.01949342254194231,0.9764208348545698,0.8267223382045931,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,0-0,no_transform
0.6774716369529984,0.7767857142857143,0.8618421052631579,0.10991902834008094,0.8724603640634175,0.7519230769230769,0.5587188612099644,0.4457831325301205,0.13250496767864786,0.7708668609455873,0.5782881002087683,Compas Sex,"Logistic Regression, C=1.0",0-0,no_transform
0.6823338735818476,0.7961309523809523,0.8486842105263158,0.06791497975708505,0.9199761478831248,0.7807692307692308,0.5462633451957295,0.4939759036144578,0.061347687199738425,0.8895280369598695,0.5553235908141962,Compas Sex,SVM,0-0,no_transform
0.6661264181523501,0.7574404761904762,0.8092105263157895,0.06690283400809716,0.9173233270794248,0.7423076923076923,0.5569395017793595,0.4457831325301205,0.13041728500641392,0.7736598568185787,0.5762004175365344,Compas Sex,"ZafarEqOpp, τ=5.0, μ=1.2",0-0,no_transform
0.6766612641815235,0.7648809523809523,0.875,0.14230769230769236,0.8373626373626373,0.7326923076923076,0.5711743772241993,0.2530120481927711,0.3732927534773751,0.4039759036144578,0.6263048016701461,Compas Sex,GPyT_in_True,1-2410,no_transform
0.666936790923825,0.7648809523809523,0.7697368421052632,0.00627530364372475,0.9918474687705456,0.7634615384615384,0.5498220640569395,0.4457831325301205,0.1220665543174787,0.785037207654146,0.5678496868475992,Compas Sex,GPyT_in_False,1-2410,no_transform
0.6385737439222042,0.65625,0.4539473684210527,0.26143724696356274,0.6345500848896435,0.7153846153846154,0.6174377224199288,0.7469879518072289,0.15199839022059006,0.7965182840595327,0.5949895615866388,Compas Sex,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.6_1tpr_0.6,1-2410,no_transform
0.6604538087520261,0.7261904761904762,0.7039473684210527,0.028744939271254988,0.9607680618870008,0.7326923076923076,0.5818505338078291,0.5301204819277109,0.06069371431446036,0.8972710630507897,0.5908141962421712,Compas Sex,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,1-2410,no_transform
