Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1,dataset,model,repeat,transform
0.6707218167072182,0.7857142857142857,0.7235576923076923,0.1631610576923077,0.8159945781091156,0.88671875,0.5329768270944741,0.6322418136020151,0.3395588867727469,0.4629287727140219,0.2926829268292683,Compas Race,GPyT_in_True,0-0,no_transform
0.681265206812652,0.7708333333333334,0.7451923076923077,0.06730769230769229,0.9171597633136096,0.8125,0.5739750445632799,0.6297229219143576,0.1906985316704552,0.6971707317073171,0.4390243902439024,Compas Race,GPyT_in_False,0-0,no_transform
0.6561232765612328,0.7142857142857143,0.7283653846153846,0.03695913461538458,0.9492574257425744,0.69140625,0.5864527629233511,0.5919395465994962,0.018768814892179183,0.9682926829268292,0.573170731707317,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.6_1tpr_0.6,0-0,no_transform
0.64882400648824,0.7380952380952381,0.71875,0.05078125,0.934010152284264,0.76953125,0.5418894830659536,0.5869017632241813,0.15397493395588865,0.7376478593112112,0.4329268292682927,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,0-0,no_transform
0.6520681265206812,0.65625,0.6754807692307693,0.050480769230769273,0.9252669039145908,0.625,0.6470588235294118,0.6624685138539043,0.052712416292928665,0.9204303069646668,0.6097560975609756,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.7_1tpr_0.7,0-0,no_transform
0.6545012165450121,0.6666666666666666,0.6298076923076923,0.09675480769230772,0.8668320926385442,0.7265625,0.6399286987522281,0.690176322418136,0.1718836394913067,0.7509569165034716,0.5182926829268293,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,0-0,no_transform
0.6447688564476886,0.6086309523809523,0.6274038461538461,0.04927884615384615,0.921455938697318,0.578125,0.6880570409982175,0.7128463476070529,0.08479756711924802,0.8810436955959665,0.6280487804878049,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.8_1tpr_0.8,0-0,no_transform
0.6415247364152473,0.6116071428571429,0.5649038461538461,0.12259615384615385,0.8216783216783217,0.6875,0.6773618538324421,0.7380352644836272,0.2075474596055784,0.7187838175310081,0.5304878048780488,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,0-0,no_transform
0.6155717761557178,0.44494047619047616,0.4519230769230769,0.018329326923076927,0.959441489361702,0.43359375,0.8199643493761141,0.8438287153652393,0.08163359341401978,0.9032580997451766,0.7621951219512195,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.9_1tpr_0.9,0-0,no_transform
0.6034063260340633,0.4330357142857143,0.3894230769230769,0.11448317307692307,0.7728085867620751,0.50390625,0.8074866310160428,0.8639798488664987,0.1932481415494255,0.7763279527839011,0.6707317073170732,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,0-0,no_transform
0.6780210867802109,0.7782738095238095,0.7475961538461539,0.08052884615384615,0.9027576197387518,0.828125,0.5579322638146168,0.6095717884130982,0.17664495914480555,0.7102146744607942,0.4329268292682927,Compas Race,"Logistic Regression, C=1.0",0-0,no_transform
0.6885644768856448,0.7976190476190477,0.7524038461538461,0.11868990384615385,0.8637461193515005,0.87109375,0.5579322638146168,0.6045340050377834,0.15941205381827125,0.736305894308943,0.4451219512195122,Compas Race,SVM,0-0,no_transform
0.6480129764801298,0.6919642857142857,0.6634615384615384,0.07481971153846156,0.8986568986568986,0.73828125,0.5953654188948306,0.6423173803526449,0.16061006327947416,0.7499521759923481,0.4817073170731707,Compas Race,"ZafarEqOpp, τ=5.0, μ=1.2",0-0,no_transform
0.6609894566098946,0.7306547619047619,0.6490384615384616,0.21424278846153846,0.7518273581621998,0.86328125,0.5775401069518716,0.654911838790932,0.26466793635190755,0.5958724202626642,0.3902439024390244,Compas Race,GPyT_in_True,1-2410,no_transform
0.64882400648824,0.7306547619047619,0.6682692307692307,0.16376201923076927,0.8031780426146623,0.83203125,0.5508021390374331,0.6020151133501259,0.175185845057443,0.7090009184610675,0.4268292682926829,Compas Race,GPyT_in_False,1-2410,no_transform
0.6520681265206812,0.6666666666666666,0.6394230769230769,0.07151442307692313,0.8994082840236686,0.7109375,0.6345811051693404,0.6523929471032746,0.06092953246912825,0.9066060834353517,0.5914634146341463,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.6_1tpr_0.6,1-2410,no_transform
0.6423357664233577,0.65625,0.5865384615384616,0.18299278846153846,0.7622022647403358,0.76953125,0.6256684491978609,0.672544080604534,0.16034895865331444,0.7615785146615511,0.5121951219512195,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,1-2410,no_transform
0.6520681265206812,0.6428571428571429,0.625,0.046875,0.9302325581395348,0.671875,0.6631016042780749,0.6624685138539043,0.0021656324875591877,0.9967416171746816,0.6646341463414634,Compas Race,GPyT_eq_odds_in_True_0tnr_0.71_1tnr_0.71_0tpr_0.7_1tpr_0.7,1-2410,no_transform
