dataset,transform,model,split_id,Accuracy,CV absolute,F1,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,0,0.8458817025981205,0.8903626241984356,0.6856111862877763,0.9036109064112012,0.9111545988258316,0.012100225303373069,0.9867198987757224,0.8990543735224586,0.6725663716814161,0.778125,0.12297036082474222,0.8419658013497289,0.6551546391752577,0.2403537866224433,0.16556521739130434,0.10963737580156438,0.6016121267987914,0.2752025931928687,0.0
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,0,0.8354892205638474,0.8568133999244603,0.6773633998265395,0.8812288696163457,0.9067178502879079,0.04130574928743147,0.9544447599941749,0.8654121010004764,0.6966993755575379,0.7275449101796407,0.03624511982324663,0.9501816048519984,0.6912997903563941,0.2620232172470978,0.1653623681524328,0.1431866000755397,0.5359355732158995,0.3085489682279725,0.0
