dataset,transform,model,split_id,Accuracy,Accuracy_race_White_0,Accuracy_race_White_0-race_White_1,Accuracy_race_White_0/race_White_1,Accuracy_race_White_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR-ratio,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed,PR_t,t_s0,t_s1
Adult Race-Binary,no_transform,"Logistic Regression, C=1.0",0,0.8488307811377079,0.8931750741839762,0.05154669645689336,0.9422882501462688,0.8416283777270829,0.7657063256661487,0.9181535830854972,0.6633425669436749,0.9305427951931204,0.9529854254818994,0.02660131605993654,0.9720863348497852,0.9263841094219628,0.600869856139177,0.9538832497535172,0.5755305867665418,0.027824789182515297,0.9538832497535172,0.6033553759490571,0.2011719829730776,0.1307616221562809,0.08184641691450276,0.6150361140048255,0.21260803907078368,0.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam",0,0.8100226657084416,0.8718100890207715,0.0718229412522402,0.9176162995166612,0.7999871477685313,0.6724652383342125,0.9471176566809848,0.5105049497899011,0.9452427327183861,0.961683121767748,0.01948684176600557,0.9797367331037428,0.9421962800017424,0.39968774395003903,0.9857842935009328,0.3945068664169788,0.00568906794500995,0.9857842935009328,0.4001959343619888,0.14025098125932886,0.09475766567754698,0.052882343319015035,0.6418156319656789,0.14764000899656202,0.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",0,0.7521421858588092,0.8415430267062315,0.10392133213951238,0.8765109699188446,0.7376216945667191,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,-0.2922848664688426,-0.8118915271664041
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",0,0.8427497374094753,0.8933728981206726,0.058845378280040224,0.9341312251537636,0.8345275198406323,0.7356064371972321,0.9450670202237998,0.6225200716608055,0.9480724706919996,0.9586271744240714,0.012510521551309273,0.9869495442179328,0.946116652872762,0.5231404037024646,0.9524548830936156,0.5468164794007491,0.025998453439446068,0.9524548830936156,0.520818025961303,0.1687213223505998,0.12146389713155292,0.05493297977620018,0.6885830365073445,0.1763968769077531,0.0,0.2,0.02596439169139462,-0.15594576358320208
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",0,0.8274089225496158,0.8686449060336301,0.04793353502183817,0.944818032444684,0.8207113710117919,0.7795419615368274,0.9144385190911412,0.6628873771730914,0.8744625335342325,0.9029149036201224,0.033724678416480636,0.9626491064869284,0.8691902252036416,0.6846213895394223,0.9967690869013426,0.686641697877653,0.0022184796557572764,0.9967690869013426,0.6844232182218957,0.2641107855602853,0.19050445103857566,0.08556148090885872,0.6900686719824941,0.2760659319474344,0.0,0.3,0.1011021619330224,0.02687263897622796
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",0,0.7958151362706617,0.8425321463897132,0.05430479041503211,0.9355457347856334,0.7882273559746811,0.7951394259853084,0.8893068576093839,0.6583730287194192,0.7964793649626989,0.8493182886694876,0.06263013255152794,0.926258349329034,0.7866881561179596,0.7937994870079179,0.9827184982814041,0.8064918851435705,0.013937390899142366,0.9827184982814041,0.7925544942444281,0.3498258610205097,0.2545994065281899,0.11069314239061613,0.6969739932603444,0.365292548918806,0.0,0.4,0.2012858555885263,0.11468474547226608
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",0,0.7707999336613411,0.8183976261127597,0.05532851323803678,0.9323940936866628,0.7630691128747229,0.8025487326105094,0.8639798447517815,0.6518014613252708,0.7395906067399214,0.8119417019275975,0.08575796711904238,0.8943791568834956,0.7261837348085551,0.8655068584810973,0.9837551181960668,0.8526841448189763,0.01408048902868475,0.9837551181960668,0.8667646338476609,0.4103875283321355,0.2933728981206726,0.1360201552482186,0.6832269311740267,0.4293930533688912,0.0,0.5,0.3415430267062316,0.2376216945667193
Adult Race-Binary,no_transform,"Logistic Regression, C=1.0",1,0.846536569185693,0.8943620178041543,0.05559326157885458,0.9378403146911944,0.8387687562252997,0.7632091948855122,0.9125584448393126,0.6588842467436717,0.92844805409577,0.9560413728255759,0.03270644230329512,0.9657897207872592,0.9233349305222808,0.5979703356752537,0.9430357529860292,0.5667915106117354,0.03423714478870543,0.9430357529860292,0.6010286554004408,0.20202885731660125,0.1268051434223541,0.08744155516068737,0.5918650987903309,0.2142466985830415,2410.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam",1,0.8456520537343136,0.8906033630069239,0.05225230430435668,0.941329320688911,0.8383510587025672,0.7557423413737376,0.9176054563888096,0.6496863237139273,0.9340340303553708,0.9567465914433474,0.026921265834600642,0.9718616548254568,0.9298253256087468,0.5774506523921044,0.9279677268143012,0.5393258426966292,0.04186445855245236,0.9279677268143012,0.5811903012490816,0.19274144507711868,0.1218595450049456,0.08239454361119038,0.5966076166727894,0.204254088616136,2410.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",1,0.7521421858588092,0.8415430267062315,0.10392133213951238,0.8765109699188446,0.7376216945667191,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2410.0,0.1,-0.2922848664688426,-0.8118915271664041
