dataset,transform,model,repeat,Accuracy,CV absolute,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",0-0,0.8459752321981424,0.8997563535192477,0.20411322423706324,0.11787974683544306,0.10024364648075232,0.5404268888507642,0.21812339331619526
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",0-0,0.8256302521008403,0.934977709804432,0.13821318000884564,0.08227848101265822,0.06502229019556799,0.5585746791260742,0.1473007712082262
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",1-2410,0.8519460415745246,0.9244748787868928,0.1844316674038036,0.1194620253164557,0.07552512121310727,0.6126661548859759,0.19498714652956287
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",1-2410,0.8502874834144184,0.9278297972731121,0.1973684210526316,0.13528481012658228,0.07217020272688815,0.6521163709943062,0.20745501285347048
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",2-4820,0.8482972136222909,0.9066415020663174,0.21638655462184875,0.1360759493670886,0.0933584979336826,0.5930929333758821,0.2294344473007712
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",2-4820,0.8497346306943829,0.9328426507435488,0.1930561698363556,0.13528481012658228,0.06715734925645114,0.6682640144665462,0.20244215938303345
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",3-7230,0.836687306501548,0.9337513422927988,0.18752764263600166,0.1305379746835443,0.0662486577072012,0.6633477746818907,0.1967866323907455
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",3-7230,0.8415524104378593,0.936007207705574,0.19349845201238391,0.13844936708860758,0.06399279229442584,0.6838959212376933,0.20244215938303345
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",4-9640,0.8459752321981424,0.9264049331294132,0.1930561698363556,0.12974683544303794,0.0735950668705867,0.6380723007249276,0.20334190231362467
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",4-9640,0.8314904909332154,0.9210125768767694,0.2285493144626272,0.1606012658227848,0.07898742312323062,0.6703207339599065,0.23958868894601545
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",5-12050,0.846859796550199,0.9154636197975984,0.2222467934542238,0.1495253164556962,0.08453638020240148,0.6388286447146164,0.2340616966580977
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",5-12050,0.8391198584697037,0.9557616901500114,0.17492260061919504,0.13686708860759494,0.04423830984998861,0.755731688692043,0.1811053984575836
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",6-14460,0.8440955329500222,0.9189657837362925,0.17967713401149935,0.10996835443037976,0.08103421626370766,0.5757427977579774,0.1910025706940874
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",6-14460,0.839562140645732,0.9227482021411604,0.20411322423706324,0.13765822784810128,0.0772517978588396,0.6405388831687966,0.21491002570694087
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",7-16870,0.8518354710305175,0.9189409716572842,0.2042237947810704,0.13449367088607594,0.08105902834271582,0.6239479782311692,0.21555269922879172
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",7-16870,0.8509509066784608,0.9312982005141388,0.1840999557717824,0.125,0.06870179948586119,0.6453218314532183,0.1937017994858612
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",8-19280,0.8391198584697037,0.926459845107546,0.22069880583812476,0.1574367088607595,0.07354015489245386,0.6816124624021753,0.23097686375321336
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",8-19280,0.8442061034940291,0.9436725130975236,0.20035382574082264,0.1518987341772152,0.056327486902476326,0.7294889826535397,0.20822622107969152
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",9-21690,0.8431003980539584,0.915104861540464,0.20831490490933216,0.13528481012658228,0.08489513845953597,0.6144283845795739,0.22017994858611825
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21144567506",9-21690,0.8373507297655904,0.9466446747583873,0.1780185758513932,0.13212025316455697,0.05335532524161268,0.7123323420791776,0.18547557840616966
