dataset,transform,model,repeat,Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1
Compas Race,no_transform,"Logistic Regression, C=1.0",0-0,0.6780210867802109,0.7782738095238095,0.7475961538461539,0.08052884615384615,0.9027576197387518,0.828125,0.5579322638146168,0.6095717884130982,0.17664495914480555,0.7102146744607942,0.4329268292682927,,,,,,,,
Compas Race,no_transform,LRCV,0-0,0.6682887266828873,0.7574404761904762,0.7307692307692307,0.07001201923076927,0.9125703564727955,0.80078125,0.5614973262032086,0.6095717884130982,0.16444983719358602,0.7302207216287039,0.4451219512195122,,,,,,,,
Compas Race,no_transform,SVM,0-0,0.6885644768856448,0.7976190476190477,0.7524038461538461,0.11868990384615385,0.8637461193515005,0.87109375,0.5579322638146168,0.6045340050377834,0.15941205381827123,0.736305894308943,0.4451219512195122,,,,,,,,
Compas Race,no_transform,Agarwal LR,0-0,0.6715328467153284,0.7693452380952381,0.7331730769230769,0.09495192307692313,0.8853410740203193,0.828125,0.5543672014260249,0.5969773299748111,0.14575781777968916,0.7558402799217865,0.45121951219512196,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,0-0,0.6763990267639902,0.7782738095238095,0.7451923076923077,0.08683894230769229,0.8956301914048393,0.83203125,0.5543672014260249,0.6020151133501259,0.16299072310622348,0.7292580875599551,0.43902439024390244,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",0-0,0.6480129764801298,0.6919642857142857,0.6634615384615384,0.07481971153846156,0.8986568986568986,0.73828125,0.5953654188948306,0.6423173803526449,0.16061006327947414,0.7499521759923481,0.4817073170731707,,,,,,,,
Compas Race,no_transform,"Logistic Regression, C=1.0",1-2410,0.6650446066504461,0.7172619047619048,0.6658653846153846,0.13491586538461542,0.8315196998123827,0.80078125,0.6024955436720143,0.6423173803526449,0.1362198193770351,0.7879244380679101,0.5060975609756098,,,,,,,,
Compas Race,no_transform,LRCV,1-2410,0.6536901865369019,0.7053571428571429,0.65625,0.12890625,0.835820895522388,0.78515625,0.5918003565062389,0.6246851385390428,0.11249001658782332,0.81992525570417,0.5121951219512195,,,,,,,,
Compas Race,no_transform,SVM,1-2410,0.681265206812652,0.7589285714285714,0.7067307692307693,0.13701923076923073,0.8376068376068376,0.84375,0.5882352941176471,0.6448362720403022,0.1936167598451803,0.6997427591463415,0.45121951219512196,,,,,,,,
Compas Race,no_transform,Agarwal LR,1-2410,0.6609894566098946,0.7291666666666666,0.6947115384615384,0.09044471153846156,0.8848067355530042,0.78515625,0.5793226381461676,0.6070528967254408,0.0948577747742213,0.8437405120939176,0.5121951219512195,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,1-2410,0.6690997566909975,0.7321428571428571,0.6899038461538461,0.11087740384615385,0.8615384615384615,0.80078125,0.5935828877005348,0.6322418136020151,0.13224181360201515,0.7908366533864541,0.5,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",1-2410,0.6561232765612328,0.6830357142857143,0.6490384615384616,0.08924278846153844,0.8791208791208791,0.73828125,0.6238859180035651,0.6397984886649875,0.0544326350064509,0.9149222200883425,0.5853658536585366,,,,,,,,
Compas Race,no_transform,"Logistic Regression, C=1.0",2-4820,0.6796431467964315,0.78125,0.7355769230769231,0.11989182692307687,0.8598524762908325,0.85546875,0.5579322638146168,0.6120906801007556,0.1852614118080727,0.6973301214493627,0.4268292682926829,,,,,,,,
Compas Race,no_transform,LRCV,2-4820,0.6682887266828873,0.7693452380952381,0.7235576923076923,0.12019230769230771,0.8575498575498576,0.84375,0.5472370766488414,0.5969773299748111,0.1701480616821282,0.7149840485746629,0.4268292682926829,,,,,,,,
Compas Race,no_transform,SVM,2-4820,0.6869424168694241,0.7872023809523809,0.7379807692307693,0.12920673076923073,0.851004851004851,0.8671875,0.5668449197860963,0.6397984886649875,0.24955458622596305,0.6099481467255617,0.3902439024390244,,,,,,,,
Compas Race,no_transform,Agarwal LR,2-4820,0.6715328467153284,0.7946428571428571,0.7692307692307693,0.06670673076923073,0.9202012940330698,0.8359375,0.5240641711229946,0.5541561712846348,0.10293665908951283,0.8142461197339246,0.45121951219512196,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,2-4820,0.6796431467964315,0.78125,0.7403846153846154,0.10727163461538458,0.8734491315136477,0.84765625,0.5579322638146168,0.6070528967254408,0.1680285064815384,0.7232061532233579,0.43902439024390244,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",2-4820,0.6585563665855637,0.71875,0.6802884615384616,0.10096153846153844,0.8707692307692309,0.78125,0.5864527629233511,0.6120906801007556,0.08770043619831658,0.8567198634949313,0.524390243902439,,,,,,,,
Compas Race,no_transform,"Logistic Regression, C=1.0",3-7230,0.683698296836983,0.7559523809523809,0.7235576923076923,0.08503605769230771,0.8948346339650687,0.80859375,0.5971479500891266,0.6599496221662469,0.21482767094673466,0.6744786818097188,0.4451219512195122,,,,,,,,
Compas Race,no_transform,LRCV,3-7230,0.6788321167883211,0.7529761904761905,0.7259615384615384,0.07091346153846156,0.9110105580693816,0.796875,0.5900178253119429,0.6498740554156172,0.20475210419610496,0.6849357156362261,0.4451219512195122,,,,,,,,
