dataset,transform,model,repeat,Accuracy,CV absolute,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1
Adult Race,no_transform,GPyT_in_False,0-0,0.8473020787262273,0.8835760307181673,0.9009260620314568,0.9398496240601504,0.04613991853653998,0.9509071266771214,0.8937097055236104,0.6845158411423472,0.59,0.10377756001959826,0.8504166666666666,0.6937775600195982,0.2441397611676249,0.1439873417721519,0.11642396928183267,0.5529227635672961,0.2604113110539846
Adult Race,no_transform,GPyT_dem_par_in_False,0-0,0.8218708536045998,0.9176275584914256,0.937674555343231,0.9689849624060152,0.037115298701536965,0.9616967237454556,0.931869663704478,0.4703257474341812,0.42,0.05525722684958356,0.8837319587628866,0.4752572268495836,0.16342326404245908,0.0925632911392405,0.08237244150857442,0.5291274100391558,0.17493573264781492
Adult Race,no_transform,GPyT_dem_par_in_False_tar_max,0-0,0.8502874834144184,0.9077893657869904,0.9188593267676024,0.9464285714285714,0.032680531700395754,0.9654696268826009,0.9137480397281756,0.642124051762606,0.605,0.04076188143067128,0.9368778452200304,0.6457618814306713,0.22014595311808927,0.14082278481012658,0.09221063421300964,0.6043029596374986,0.23303341902313626
Adult Race,no_transform,GPyT_in_False,1-2410,0.846749226006192,0.9141831538186196,0.9312068205203586,0.9548872180451128,0.028070699487872885,0.9706031257331724,0.9268165185572399,0.5903614457831325,0.545,0.049806467417932376,0.9162644151565076,0.5948064674179324,0.1980318443166741,0.12420886075949368,0.08581684618138036,0.5913983700788622,0.21002570694087402
Adult Race,no_transform,GPyT_dem_par_in_False,1-2410,0.8515037593984962,0.924062428817806,0.9337057180655594,0.9511278195488722,0.02065212691949425,0.9782866965984764,0.930475692629378,0.6019634091923248,0.585,0.01862567368936796,0.9691436688311688,0.6036256736893679,0.19902697921273774,0.1337025316455696,0.07593757118219388,0.6377717328035142,0.2096401028277635
Adult Race,no_transform,GPyT_dem_par_in_False_tar_max,1-2410,0.8578062804068997,0.9171923302202988,0.928707922975158,0.9483082706766918,0.023234215963327087,0.9754993005104259,0.9250740547133648,0.642570281124498,0.62,0.02478196962273393,0.961565349544073,0.6447819696227339,0.21284829721362228,0.14161392405063292,0.08280766977970128,0.6310173706265315,0.2244215938303342
Adult Race,no_transform,GPyT_in_False,2-4820,0.8596859796550199,0.8920552536526635,0.9276789651624284,0.9633458646616542,0.04227947678920252,0.956111840679306,0.9210663878724517,0.6532797858099063,0.585,0.07497060264576194,0.8864031180400892,0.6599706026457619,0.21627598407784165,0.12341772151898735,0.10794474634733656,0.5334388185654009,0.2313624678663239
Adult Race,no_transform,GPyT_dem_par_in_False,2-4820,0.8565900044228217,0.918681868471576,0.9403204468616788,0.9605263157894736,0.02395199970653239,0.9750636715384048,0.9365743160829412,0.6024096385542169,0.575,0.030095541401273906,0.9502631578947368,0.6050955414012739,0.1941618752764264,0.12420886075949368,0.08131813152842407,0.6043433000055414,0.20552699228791774
Adult Race,no_transform,GPyT_dem_par_in_False_tar_max,2-4820,0.8552631578947368,0.9049127916436172,0.9184183448478612,0.9511278195488722,0.03877375089579671,0.9592339219830754,0.9123540686530754,0.6635430611334225,0.65,0.014870161685448304,0.9776344878408254,0.6648701616854483,0.22578505086245024,0.1439873417721519,0.09508720835638282,0.6022696338641622,0.2390745501285347
Adult Race,no_transform,GPyT_in_False,3-7230,0.8516143299425033,0.910703768181966,0.9292958988681465,0.9464285714285714,0.02030903840888154,0.978541393379295,0.92611953301969,0.6157965194109772,0.53,0.0942038216560509,0.8490816326530614,0.6242038216560509,0.2057717823971694,0.12895569620253164,0.08929623181803392,0.5908570768290319,0.2182519280205656
Adult Race,no_transform,GPyT_dem_par_in_False,3-7230,0.8503980539584255,0.941879942078032,0.9410554167279142,0.9398496240601504,0.0014293444012540846,0.9984814869457984,0.9412789684614044,0.5751896474788041,0.545,0.033147966682998464,0.9426652542372882,0.5781479666829985,0.18686421937195927,0.13686708860759494,0.058120057921968026,0.7019287734786346,0.19498714652956287
Adult Race,no_transform,GPyT_dem_par_in_False_tar_max,3-7230,0.8528306059265811,0.9284724707949628,0.9360576216375128,0.9398496240601504,0.004495032667921728,0.9952172852413312,0.9353545913922288,0.6001784917447568,0.535,0.07156540911317978,0.8820153473344104,0.6065654091131798,0.1968155683325962,0.13528481012658228,0.07152752920503727,0.6541428357891921,0.20681233933161955
